country,source,sector,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ANNEXI,UNFCCC_AI,Industrial Processes and Product Use,N2O,171.5891294,164.8285373,159.0411088,154.0597033,159.5401223,162.4281399,168.211941,157.400941,127.6460839,100.8183866,105.3542,98.45552191,94.73540291,94.38134852,96.23051382,98.24282616,90.30824206,94.24380355,75.71112244,62.42279031,56.53952959,57.10272778,49.93981518,45.06197432,45.63926524,44.14083507,44.61695088,44.36523616,47.20294239,44.37034797,46.14865533,42.65101058
ANNEXI,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,-1232.392645,-1345.04059,-1379.673363,-1436.929742,-1546.721202,-1631.852961,-1739.419805,-1799.026046,-1851.067772,-1895.61815,-1819.850932,-1930.930531,-1845.2992,-1877.05264,-1798.283123,-1823.592287,-1874.849279,-1790.955877,-1862.562264,-1935.693465,-1996.055588,-1983.778892,-2010.24437,-1913.765028,-1969.300542,-1758.450147,-1961.826524,-1862.352848,-1813.705776,-1714.291576,-1808.427742,-1663.361398
ANNEXI,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",CH4,118.6509728,115.8418983,113.1376154,111.3812237,115.6956323,113.3059973,115.1649614,112.4123328,117.3316513,115.7700445,123.547072,115.2486399,125.2674539,125.5269536,127.0827922,123.6108006,124.9951268,126.3152701,121.4225918,125.6490167,115.6439247,119.0845063,119.346908,117.1474871,117.0358839,130.4009428,117.7328596,128.855184,125.4805803,118.8371144,122.7831948,118.3142716
ANNEXI,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",CO2,-1386.017152,-1500.003504,-1530.436541,-1585.591978,-1700.720655,-1780.88646,-1893.389104,-1946.765598,-2008.524145,-2049.747672,-1986.085621,-2084.700364,-2015.056472,-2046.351126,-1973.205168,-1993.989758,-2045.234616,-1963.825016,-2028.223123,-2111.540937,-2146.992311,-2141.150349,-2168.048686,-2068.159431,-2122.652463,-1936.894295,-2116.868242,-2033.306503,-1983.219361,-1874.336076,-1973.762999,-1825.854138
ANNEXI,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",N2O,34.97353432,39.12101536,37.62556246,37.28101298,38.30382022,35.72750094,38.80433789,35.3272188,40.12472177,38.35947767,42.68761757,38.52119383,44.48981817,43.77153176,47.83925286,46.78667033,45.3902096,46.5538682,44.23826771,50.1984557,35.2927977,38.28695065,38.45740743,37.24691641,36.31603716,48.04320534,37.30885839,42.09847098,44.03300477,41.20738479,42.55206184,44.17846791
ANNEXI,UNFCCC_AI,Other,Aggregate F-gases,,,,,3.51137E-06,8.43137E-06,1.51031E-05,1.99431E-05,2.46823E-05,2.94197E-05,3.36193E-05,4.04405E-05,5.47501E-05,6.69881E-05,7.18206E-05,7.69013E-05,8.16686E-05,9.84581E-05,0.000115537,0.000132645,0.000149863,0.000168142,0.000182709,0.000195728,0.000208588,0.00022174,0.000234613,0.000234313,0.000233889,0.000233469,0.000233469,0.000233469
ANNEXI,UNFCCC_AI,Other,Aggregate GHGs,0.015677284,0.017217289,0.017666579,0.01710537,0.017200395,0.016703283,0.019607202,0.018399548,0.017165003,0.018545394,0.018797377,0.020650065,0.019426927,0.021939216,0.020557392,0.020552401,0.02002811,0.020985317,0.019597944,0.019610864,0.020113721,0.020442146,0.020375407,0.020388835,0.01692383,0.017975905,0.017359261,0.018077233,0.019239383,0.01721546,0.016991663,0.018128547
ANNEXI,UNFCCC_AI,Other,CH4,0.002539645,0.002714711,0.002681902,0.002591623,0.002539285,0.002454825,0.002554263,0.002553105,0.002552446,0.002689109,0.002766014,0.002934317,0.002848704,0.002951368,0.002831466,0.002780173,0.002724234,0.002749079,0.002655734,0.002635874,0.002642241,0.002640776,0.002585804,0.002559191,0.002320874,0.002315029,0.002220289,0.002254871,0.002310493,0.002177211,0.00217399,0.002252091
ANNEXI,UNFCCC_AI,Other,CO2,0.012508416,0.013822794,0.014296084,0.01386065,0.014011176,0.013625609,0.016310271,0.015167028,0.013995576,0.015194112,0.015370189,0.016981727,0.015882829,0.018182931,0.016992183,0.017053935,0.016604537,0.017481745,0.016224454,0.016240663,0.016700871,0.01700058,0.016967228,0.016964945,0.01386431,0.014865755,0.014357542,0.015015442,0.016074258,0.014286541,0.014071761,0.015074382
ANNEXI,UNFCCC_AI,Other,N2O,0.000629222,0.000679784,0.000688593,0.000653097,0.000646423,0.000614417,0.000727565,0.000659471,0.000592299,0.000632752,0.000627554,0.00069358,0.000640644,0.000737928,0.000661922,0.000641392,0.000617671,0.000656034,0.000602218,0.000601682,0.000620745,0.000632649,0.000639666,0.00066897,0.000530058,0.00057338,0.000546817,0.000572607,0.000620743,0.000518239,0.000512443,0.000568605
